Kategori,Artikelnr,Artikel,ArtPris
Grävmaskin Volvo 50D,25100,Volvo 50 D,500.00
Grävmaskin Volvo 50D,25101,Förare grävmaskin,400.00
Grävmaskin Volvo 50D,25102,"Rotor encon, grip, centralsmörjning",160.00
Grävmaskin Volvo 50D,25103,Grävskopa 60 cm,20.00
Grävmaskin Volvo 50D,25104,Planeringsskopa 110 cm,30.00
Grävmaskin Volvo 50D,25105,Smalskopa 20 cm,15.00
Grävmaskin Volvo 50D,25106,Tjälkrok,15.00
Grävmaskin Volvo 50D,25107,Kratta 160 cm,20.00
Grävmaskin Volvo 50D,25108,Sop 160 cm,20.00
Grävmaskin Volvo 50D,25109,Grip och tillsats för kunna dra på rot,40.00
Grävmaskin Volvo 50D,25110,Planeringsbalk med rulle 200 cm,40.00
Grävmaskin Volvo 50D,25111,Gallerskopa,30.00
Grävmaskin Volvo 50D,25112,Pallgafflar,30.00
Grävmaskin Volvo 50D,25113,"Vägrensare, ex mellan vägräcken",25.00
Grävmaskin Volvo 50D,25114,Lång skopa smal,25.00
Grävmaskin Volvo 50D,25115,Buskröjare aggregat 100 cm,80.00
Grävmaskin Volvo 50D,25116,Hydraulisk trädklipp 20 cm,50.00
Traktor Lundberg 6240,25200,Lundberg 6240,500.00
Traktor Lundberg 6240,25201,Förare traktor,400.00
Traktor Lundberg 6240,25202,Planeringsskopa 220 cm bred,30.00
Traktor Lundberg 6240,25203,"Pallgafflar, förlängningsgafflar",30.00
Traktor Lundberg 6240,25204,"Multiskopa, snö ex vingar 3,60 cm",60.00
Traktor Lundberg 6240,25205,Grip på lastare,40.00
Traktor Lundberg 6240,25206,Kranarm,30.00
Traktor Lundberg 6240,25207,"Sandspridare, Drivex, 1,5 kubik 2,5 ton",40.00
Traktor Lundberg 6240,25208,Sandspridare fram skopa 800l,30.00
Traktor Lundberg 6240,25209,"1st Hyvelblad, isrivare 260 cm",40.00
Traktor Lundberg 6240,25210,1st hyvel med hjulpar 180cm+,40.00
Traktor Lundberg 6240,25211,"Långskopa, bredd 80cm längd 185cm",25.00
Traktor Lundberg 6240,25212,"Skopa 2,00 snö, lättare material/matjord",30.00
Traktor Lundberg 6240,25213,"Grusfräs 2,00m",70.00
Traktor Lundberg 6240,25214,Hydrauliska pallgafflar 150 längd,35.00
Traktor Lundberg 6240,25215,Hydraulisk slagklippare 200cm bred,120.00
Övrigt,25300,"Släp kåpa, tipp",60.00
Övrigt,25301,Avvägningsinstrument Laser,25.00
Övrigt,25302,Instrument för Ledningskoll,25.00
Övrigt,25303,Padda manuell Diesel,60.00
Övrigt,25400,Biggab tippvagn Lastväxlare 7-10ton,160.00
Övrigt,25401,Lastbil / Lastväxlare Entreprenad,1250.00
Övrigt,25402,Etablering,900.00
Övrigt,25403,Av-etablering,900.00
Övrigt,25404,"4-hjuling el, spel",150.00
Övrigt,25405,"Så, vält",30.00
Övrigt,25406,Harv,25.00
Övrigt,25407,Mindre tippvagn,40.00
Övrigt,25500,Maskinist (Hyra av maskin),460.00
Övrigt,25501,Spadgubbe,440.00
Övrigt,25502,Resor Bil (per mil),60.00
Övrigt,25503,Projektledare,550.00
Övrigt,25504,Utsättning,350.00
Övrigt,25505,Uppritning,550.00
Övrigt,25506,Bil med verktyg,300.00
